duration_interval_type
UNKNOWN
6-9min
9-12min
0-15min
0-5min
5-10min
0-10min
0-3min
3-10min
3-5min
10-15min
15-20min
0-20min
5-8min
8-10min
3-6min
7-10min
0-3.33min
3.33-6.66min
6.66-10min
0-1min
1-2min
2-3min
3-4min
4-5min
5-6min
6-7min
7-8min
8-9min
9-10min
0-2min
3-7min
10min+
0-9min
0-6min
