duration_method_type
0-10min
0-5min
0-5-10min
0-3min
0-20min
0-3-5-10-10min+
0-3-10min
0-3-5min
UNKNOWN
0-5-10-15-20min
0-10-15min
0-3-5-8-10min
0-5-8min
0-3-7-10min
0-3.33-6.66-10min
0-1-2-3-4-5-6-7-8-9-10min
0-2-3-4-5-6-7-8-9-10min
0-2min
0-1-2-3min
0-1-2-3-4-5min
0-1min
0-9min
0-1-2-3-4-5-6min
0-1-2-3-4-5-6-7-8-9min
0-6min
0-1-2min
0-3-5-10min
0-1-2-3-4min
0-3-6-9-12min
0-15min
