"","species_id","sci_name","common_name","species_code"
"212",40955,"Poecile sp.","chickadee sp.",NA
"213",14000,"Corvus cryptoleucus","Chihuahuan Raven","CHRA"
"214",8040,"Chaetura pelagica","Chimney Swift","CHSW"
"215",18770,"Spizella passerina","Chipping Sparrow","CHSP"
"216",41617,"Chlidonias sp.","Chlidonias sp.",NA
"217",7810,"Antrostomus carolinensis","Chuck-will's-widow","CWWI"
"218",1050,"Alectoris chukar","Chukar","CHUK"
"219",530,"Spatula cyanoptera","Cinnamon Teal","CITE"
"220",16210,"Motacilla citreola","Citrine Wagtail","CIWA"
"221",3751,"Rallus crepitans","Clapper Rail","CLRA"
"222",1660,"Aechmophorus clarkii","Clark's Grebe","CLGR"
"223",13860,"Nucifraga columbiana","Clark's Nutcracker","CLNU"
"224",18780,"Spizella pallida","Clay-colored Sparrow","CCSP"
"225",14230,"Petrochelidon pyrrhonota","Cliff Swallow","CLSW"
"226",40660,"Petrochelidon pyrrhonota [pyrrhonota Group]","Cliff Swallow (pyrrhonota Group)",NA
"227",7170,"Coccyzus sp.","Coccyzus sp.",NA
"228",41626,"Columba sp.","Columba sp.",NA
"229",20100,"Fringilla coelebs","Common Chaffinch","CCHA"
"230",4020,"Grus grus","Common Crane","CCRA"
"231",7000,"Cuculus canorus","Common Cuckoo","COCU"
"232",740,"Somateria mollissima","Common Eider","COEI"
"233",41203,"Gallinula galeata","Common Gallinule","COGA"
"234",830,"Bucephala clangula","Common Goldeneye","COGO"
"235",19670,"Quiscalus quiscula","Common Grackle","COGR"
"236",40881,"Quiscalus quiscula versicolor","Common Grackle (Bronzed)",NA
"237",4430,"Tringa nebularia","Common Greenshank","COMG"
"238",6210,"Columbina passerina","Common Ground Dove",NA
"239",47674,"Larus canus","Common Gull","COGU"
"240",1560,"Gavia immer","Common Loon","COLO"
"241",880,"Mergus merganser","Common Merganser","COME"
"242",5730,"Uria aalge","Common Murre","COMU"
"243",7720,"Chordeiles minor","Common Nighthawk","CONI"
"244",650,"Aythya ferina","Common Pochard","COMP"
"245",7750,"Phalaenoptilus nuttallii","Common Poorwill","COPO"
"246",14010,"Corvus corax","Common Raven","CORA"
"247",42261,"Acanthis flammea","Common Redpoll","CORE"
"248",40919,"Acanthis flammea flammea","Common Redpoll (flammea)",NA
"249",40920,"Acanthis flammea rostrata/islandica","Common Redpoll (rostrata/islandica)",NA
"250",4480,"Tringa totanus","Common Redshank","CREH"
"251",4170,"Charadrius hiaticula","Common Ringed Plover","CRPL"
"252",343,"Tadorna tadorna","Common Shelduck","COMS"
"253",4940,"Gallinago gallinago","Common Snipe","COSN"
"254",8150,"Apus apus","Common Swift","COSW"
"255",5570,"Sterna hirundo","Common Tern","COTE"
"256",31751,"Columba palumbus","Common Wood-Pigeon",NA
"257",40177,"Bucephala clangula x islandica","Common x Barrow's Goldeneye (hybrid)",NA
"258",17000,"Geothlypis trichas","Common Yellowthroat","COYE"
"259",40180,"Bucephala clangula/islandica","Common/Barrow's Goldeneye",NA
"260",20405,"Acanthis flammea/hornemanni","Common/Hoary Redpoll",NA
"261",41200,"Mergus merganser/serrator","Common/Red-breasted Merganser",NA
"262",5140,"Larus canus/brachyrhynchus","Common/Short-billed Gull",NA
"263",16970,"Oporornis agilis","Connecticut Warbler","CONW"
"264",1900,"Pterodroma cookii","Cook's Petrel","COPE"
"265",3110,"Accipiter cooperii","Cooper's Hawk","COHA"
"266",41288,"Fulica sp.","coot sp.","UNCO"
"267",12250,"Empidonax occidentalis","Cordilleran Flycatcher","COFL"
"268",45379,"Phalacrocoracidae sp.","cormorant sp.","UCOR"
"269",3740,"Crex crex","Corn Crake","CORC"
"270",1960,"Calonectris diomedea","Cory's Shearwater","COSH"
"271",9320,"Calypte costae","Costa's Hummingbird","COHU"
"272",5900,"Aethia cristatella","Crested Auklet","CRAU"
"273",43702,"Caracara plancus","Crested Caracara","CRCA"
"274",3520,"Caracara plancus [cheriway Group]","Crested Caracara (Northern)",NA
"275",20385,"Loxia sp.","crossbill sp.","UCRS"
"276",14016,"Corvus sp. (crow sp.)","crow sp.","UNCR"
"277",44364,"Corvus sp.","crow/raven sp.",NA
"278",43302,"Cuculidae sp.","cuckoo sp. (Cuculidae sp.)",NA
"279",4830,"Calidris ferruginea","Curlew Sandpiper","CUSA"
"280",41206,"Numenius sp.","curlew sp.",NA
"281",16030,"Toxostoma curvirostre","Curve-billed Thrasher","CBTH"
"282",42218,"Junco hyemalis","Dark-eyed Junco","DEJU"
"283",41434,"Junco hyemalis cismontanus","Dark-eyed Junco (cismontanus)",NA
"284",47928,"Junco hyemalis [oreganus Group]","Dark-eyed Junco (Oregon)",NA
"285",19110,"Junco hyemalis mearnsi","Dark-eyed Junco (Pink-sided)",NA
"286",45168,"Junco hyemalis hyemalis/carolinensis","Dark-eyed Junco (Slate-colored)",NA
"287",19510,"Spiza americana","Dickcissel","DICK"
"288",41283,"Accipitriformes/Falconiformes sp.","diurnal raptor sp.",NA
"289",2390,"Nannopterum auritum","Double-crested Cormorant","DCCO"
"290",42927,"Nannopterum auritum/brasilianum","Double-crested/Neotropic Cormorant",NA
"291",5720,"Alle alle","Dovekie","DOVE"
"292",10290,"Dryobates pubescens","Downy Woodpecker","DOWO"
"293",41770,"Dryobates pubescens pubescens/medianus","Downy Woodpecker (Eastern)",NA
"294",40552,"Dryobates pubescens/villosus","Downy/Hairy Woodpecker",NA
"295",46893,"Dryobates sp.","Dryobates sp.",NA
"296",930,"Anatinae sp.","duck sp.","UNDU"
"297",4820,"Calidris alpina","Dunlin","DUNL"
"298",40372,"Calidris alpina hudsonia","Dunlin (hudsonia)",NA
"299",12220,"Empidonax oberholseri","Dusky Flycatcher","DUFL"
"300",1240,"Dendragapus obscurus","Dusky Grouse","DUGR"
"301",40732,"Turdus eunomus","Dusky Thrush","DUTH"
"302",41281,"Accipitridae sp. (eagle sp.)","eagle sp.",NA
"303",1640,"Podiceps nigricollis","Eared Grebe","EAGR"
"304",15330,"Sialia sialis","Eastern Bluebird","EABL"
"305",45867,"Sialia sialis sialis/bermudensis","Eastern Bluebird (Eastern)",NA
"306",12720,"Tyrannus tyrannus","Eastern Kingbird","EAKI"
"307",19600,"Sturnella magna","Eastern Meadowlark","EAME"
"308",40878,"Sturnella magna [magna Group]","Eastern Meadowlark (Eastern)",NA
"309",12300,"Sayornis phoebe","Eastern Phoebe","EAPH"
"310",7320,"Megascops asio","Eastern Screech-Owl","EASO"
"311",40467,"Megascops asio [asio Group]","Eastern Screech-Owl (Northern)",NA
"312",18570,"Pipilo erythrophthalmus","Eastern Towhee","EATO"
"313",40825,"Pipilo erythrophthalmus erythrophthalmus/canaster","Eastern Towhee (Red-eyed)",NA
"314",7871,"Antrostomus vociferus","Eastern Whip-poor-will","EWPW"
"315",12070,"Contopus virens","Eastern Wood-Pewee","EAWP"
"316",16200,"Motacilla tschutschensis","Eastern Yellow Wagtail","EYWA"
"317",711,"Somateria sp.","Eider sp.",NA
"318",5630,"Thalasseus elegans","Elegant Tern","ELTE"
"319",150,"Anser canagicus","Emperor Goose","EMGO"
"320",12285,"Empidonax sp.","Empidonax sp.",NA
"321",4520,"Numenius borealis","Eskimo Curlew","ESCU"
"322",45874,"Turdus merula","Eurasian Blackbird","EUBB"
"323",6110,"Streptopelia decaocto","Eurasian Collared-Dove",NA
"324",3930,"Fulica atra","Eurasian Coot","EUCO"
"325",4570,"Numenius arquata","Eurasian Curlew","EUCU"
"326",4230,"Charadrius morinellus","Eurasian Dotterel","EUDO"
"327",3590,"Falco subbuteo","Eurasian Hobby","EHOB"
"328",13890,"Corvus monedula","Eurasian Jackdaw","EUJA"
"329",45341,"Falco tinnunculus","Eurasian Kestrel","EUKE"
"330",4250,"Haematopus ostralegus","Eurasian Oystercatcher","EUOY"
"331",20410,"Spinus spinus","Eurasian Siskin","EUSI"
"332",14030,"Alauda arvensis","Eurasian Skylark","EUSK"
"333",20920,"Passer montanus","Eurasian Tree Sparrow","ETSP"
"334",410,"Mareca penelope","Eurasian Wigeon","EUWI"
"335",4970,"Scolopax rusticola","Eurasian Woodcock","EUWO"
"336",4080,"Pluvialis apricaria","European Golden-Plover","EUGP"
"337",20510,"Carduelis carduelis","European Goldfinch","EUGO"
"338",16140,"Sturnus vulgaris","European Starling","EUST"
"339",2130,"Hydrobates pelagicus","European Storm-Petrel","EUSP"
"340",20570,"Coccothraustes vespertinus","Evening Grosbeak","EVGR"
"341",45274,"Coccothraustes vespertinus (type 1)","Evening Grosbeak (type 1)",NA
"342",45276,"Coccothraustes vespertinus (type 3)","Evening Grosbeak (type 3)",NA
"343",400,"Mareca falcata","Falcated Duck","FADU"
"344",3660,"Falco sp.","falcon sp.","UNFA"
"345",4550,"Numenius madagascariensis","Far Eastern Curlew","FECU"
"346",1771,"Pterodroma feae","Fea's Petrel","FEPE"
"347",3390,"Buteo regalis","Ferruginous Hawk","FEHA"
"348",18800,"Spizella pusilla","Field Sparrow","FISP"
"349",15640,"Turdus pilaris","Fieldfare","FIEL"
"350",41447,"Fringillidae sp.","finch sp.","UNFI"
"351",13980,"Corvus ossifragus","Fish Crow","FICR"
"352",7290,"Psiloscops flammeolus","Flammulated Owl","FLOW"
"353",1990,"Ardenna carneipes","Flesh-footed Shearwater","FFSH"
"354",40958,"Tyrannidae sp.","flycatcher sp. (Tyrannidae sp.)",NA
"355",12770,"Tyrannus savana","Fork-tailed Flycatcher","FTFL"
"356",2150,"Hydrobates furcatus","Fork-tailed Storm-Petrel","FTSP"
"357",5590,"Sterna forsteri","Forster's Tern","FOTE"
"358",18980,"Passerella iliaca","Fox Sparrow","FOSP"
"359",40845,"Passerella iliaca iliaca/zaboria","Fox Sparrow (Red)",NA
"360",5050,"Leucophaeus pipixcan","Franklin's Gull","FRGU"
"361",2471,"Fregata sp.","Frigatebird sp.",NA
"362",100,"Dendrocygna bicolor","Fulvous Whistling-Duck","FUWD"
"363",390,"Mareca strepera","Gadwall","GADW"
"364",570,"Spatula querquedula","Garganey","GARG"
"365",43028,"Geranoaetus/Buteo sp.","Geranoaetus/Buteo sp.",NA
"366",5250,"Larus glaucescens","Glaucous-winged Gull","GWGU"
"367",5270,"Larus hyperboreus","Glaucous Gull","GLGU"
"368",2770,"Plegadis falcinellus","Glossy Ibis","GLIB"
"369",2781,"Plegadis falcinellus/chihi","Glossy/White-faced Ibis",NA
"370",41207,"Limosa sp.","Godwit sp.",NA
"371",14960,"Regulus satrapa","Golden-crowned Kinglet","GCKI"
"372",19060,"Zonotrichia atricapilla","Golden-crowned Sparrow","GCSP"
"373",16420,"Vermivora chrysoptera","Golden-winged Warbler","GWWA"
"374",45072,"Vermivora chrysoptera x cyanoptera","Golden-winged x Blue-winged Warbler (hybrid)",NA
"375",16430,"Vermivora chrysoptera/cyanoptera","Golden-winged/Blue-winged Warbler",NA
"376",3440,"Aquila chrysaetos","Golden Eagle","GOEA"
"377",250,"Anser/Branta sp.","goose sp.","UNGO"
"378",16710,"Setophaga graciae","Grace's Warbler","GRWA"
"379",40884,"Quiscalus sp.","grackle sp.",NA
"380",18900,"Ammodramus savannarum","Grasshopper Sparrow","GRSP"
"381",15560,"Catharus minimus","Gray-cheeked Thrush","GCTH"
"382",20280,"Leucosticte tephrocotis","Gray-crowned Rosy-Finch","GCRF"
"383",14330,"Poecile cinctus","Gray-headed Chickadee","GHCH"
"384",15900,"Dumetella carolinensis","Gray Catbird","GRCA"
"385",12210,"Empidonax wrightii","Gray Flycatcher","GRFL"
"386",2560,"Ardea cinerea","Gray Heron","GRAH"
"387",12730,"Tyrannus dominicensis","Gray Kingbird","GRAK"
"388",1100,"Perdix perdix","Gray Partridge","GRAP"
"389",16220,"Motacilla cinerea","Gray Wagtail","GRAW"
"390",141,"Anser anser","Graylag Goose","GRGO"
"391",19690,"Quiscalus mexicanus","Great-tailed Grackle","GTGR"
"392",5760,"Pinguinus impennis","Great Auk","GRAU"
"393",5280,"Larus marinus","Great Black-backed Gull","GBBG"
"394",2550,"Ardea herodias","Great Blue Heron","GBHE"
"395",2551,"Ardea herodias [herodias Group]","Great Blue Heron (Great Blue)",NA
"396",2400,"Phalacrocorax carbo","Great Cormorant","GRCO"
"397",12450,"Myiarchus crinitus","Great Crested Flycatcher","GCFL"
"398",2580,"Ardea alba","Great Egret","GREG"
"399",7610,"Strix nebulosa","Great Gray Owl","GGOW"
"400",7440,"Bubo virginianus","Great Horned Owl","GHOW"
"401",32671,"Bubo virginianus [virginianus Group]","Great Horned Owl (Great Horned)",NA
"402",12550,"Pitangus sulphuratus","Great Kiskadee","GKIS"
"403",4660,"Calidris tenuirostris","Great Knot","GRKN"
"404",2000,"Ardenna gravis","Great Shearwater","GRSH"
"405",5660,"Stercorarius skua","Great Skua","GRSK"
"406",1270,"Tympanuchus cupido","Greater Prairie-Chicken","GRPC"
"407",1170,"Centrocercus urophasianus","Greater Sage-Grouse","GRSG"
"408",1170,"Centrocercus urophasianus","Greater Sage-Grouse","GGSR"
"409",680,"Aythya marila","Greater Scaup","GRSC"
"410",130,"Anser albifrons","Greater White-fronted Goose","GWFG"
"411",4420,"Tringa melanoleuca","Greater Yellowlegs","GRYE"
"412",695,"Aythya marila/affinis","Greater/Lesser Scaup",NA
"413",40356,"Tringa melanoleuca/flavipes","Greater/Lesser Yellowlegs",NA
"414",1670,"Podicipedidae sp.","grebe sp.","UGRB"
"415",18530,"Pipilo chlorurus","Green-tailed Towhee","GTTO"
"416",590,"Anas crecca","Green-winged Teal","GWTE"
"417",600,"Anas crecca carolinensis","Green-winged Teal (American)",NA
"418",610,"Anas crecca crecca","Green-winged Teal (Eurasian)",NA
"419",2680,"Butorides virescens","Green Heron","GRHE"
"420",40276,"Butorides virescens virescens/bahamensis","Green Heron (virescens/bahamensis)",NA
"421",7260,"Crotophaga sulcirostris","Groove-billed Ani","GBAN"
"422",42881,"Tetraoninae sp.","grouse sp.","UGRS"
"423",5831,"Synthliboramphus hypoleucus","Guadalupe Murrelet","GUMU"
"424",5490,"Gelochelidon nilotica","Gull-billed Tern","GBTE"
"425",5350,"Larinae sp.","gull sp.","UNGU"
"426",5645,"Laridae sp.","gull/tern sp.",NA
"427",3630,"Falco rusticolus","Gyrfalcon","GYRF"
"428",45244,"Haemorhous sp.","Haemorhous sp.",NA
"429",10300,"Dryobates villosus","Hairy Woodpecker","HAWO"
"430",43661,"Dryobates villosus [villosus Group]","Hairy Woodpecker (Eastern)",NA
"431",12200,"Empidonax hammondii","Hammond's Flycatcher","HAFL"
"432",750,"Histrionicus histrionicus","Harlequin Duck","HADU"
"433",3250,"Parabuteo unicinctus","Harris's Hawk","HASH"
"434",19040,"Zonotrichia querula","Harris's Sparrow","HASP"
"435",1860,"Pterodroma sandwichensis","Hawaiian Petrel","HAPE"
"436",3670,"Accipitridae sp. (hawk sp.)","hawk sp.","UNHA"
"437",5090,"Larus heermanni","Heermann's Gull","HEEG"
"438",1310,"Numida meleagris","Helmeted Guineafowl","HELG"
"439",18920,"Centronyx henslowii","Henslow's Sparrow","HESP"
"440",17660,"Piranga flava","Hepatic Tanager","HETA"
"441",15590,"Catharus guttatus","Hermit Thrush","HETH"
"442",40729,"Catharus guttatus faxoni/crymophilus","Hermit Thrush (faxoni/crymophilus)",NA
"443",16680,"Setophaga occidentalis","Hermit Warbler","HEWA"
"444",2745,"Ardeidae sp.","heron sp.",NA
"445",5170,"Larus argentatus","Herring Gull","HERG"
"446",5172,"Larus argentatus smithsonianus","Herring Gull (American)",NA
"447",40390,"Larus argentatus x marinus","Herring x Great Black-backed Gull (hybrid)",NA
"448",20400,"Acanthis hornemanni","Hoary Redpoll","HORE"
"449",40921,"Acanthis hornemanni exilipes","Hoary Redpoll (exilipes)",NA
"450",40922,"Acanthis hornemanni hornemanni","Hoary Redpoll (hornemanni)",NA
"451",870,"Lophodytes cucullatus","Hooded Merganser","HOME"
"452",19860,"Icterus cucullatus","Hooded Oriole","HOOR"
"453",17130,"Setophaga citrina","Hooded Warbler","HOWA"
"454",1620,"Podiceps auritus","Horned Grebe","HOGR"
"455",14040,"Eremophila alpestris","Horned Lark","HOLA"
"456",40651,"Eremophila alpestris [alpestris Group]","Horned Lark (Eastern dark Group)",NA
"457",5930,"Fratercula corniculata","Horned Puffin","HOPU"
"458",20350,"Haemorhous mexicanus","House Finch","HOFI"
"459",20910,"Passer domesticus","House Sparrow","HOSP"
"460",14780,"Troglodytes aedon","House Wren","HOWR"
"461",40695,"Troglodytes aedon [aedon Group]","House Wren (Northern)",NA
"462",40910,"Haemorhous mexicanus/purpureus","House/Purple Finch",NA
"463",4600,"Limosa haemastica","Hudsonian Godwit","HUGO"
"464",9415,"Trochilidae sp.","hummingbird sp.",NA
"465",13440,"Vireo huttoni","Hutton's Vireo","HUVI"
"466",40245,"Hydrobates sp.","Hydrobates sp.",NA
"467",40393,"Larus glaucoides","Iceland Gull","ICGU"
"468",5200,"Larus glaucoides glaucoides/kumlieni","Iceland Gull (glaucoides/kumlieni)",NA
"469",5202,"Larus glaucoides kumlieni","Iceland Gull (kumlieni)",NA
"470",5190,"Larus glaucoides thayeri","Iceland Gull (Thayer's)",NA
"471",6200,"Columbina inca","Inca Dove","INDO"
"472",1150,"Pavo cristatus","Indian Peafowl","INPE"
"473",19460,"Passerina cyanea","Indigo Bunting","INBU"
"474",5340,"Pagophila eburnea","Ivory Gull","IVGU"
"475",4920,"Lymnocryptes minimus","Jack Snipe","JASN"
"476",41623,"Stercorarius sp. (jaeger sp.)","jaeger sp.","UJAE"
"477",5710,"Stercorarius sp.","jaeger/skua sp.",NA
"478",42699,"Phylloscopus examinandus","Kamchatka Leaf Warbler","KLWA"
"479",5290,"Larus dominicanus","Kelp Gull","KEGU"
"480",16960,"Geothlypis formosa","Kentucky Warbler","KEWA"
"481",4210,"Charadrius vociferus","Killdeer","KILL"
"482",730,"Somateria spectabilis","King Eider","KIEI"
"483",3761,"Rallus elegans","King Rail","KIRA"
"484",40169,"Somateria spectabilis/mollissima","King/Common Eider",NA
"485",16770,"Setophaga kirtlandii","Kirtland's Warbler","KIWA"
"486",5820,"Brachyramphus brevirostris","Kittlitz's Murrelet","KIMU"
"487",760,"Camptorhynchus labradorius","Labrador Duck","LABD"
"488",19140,"Calcarius lapponicus","Lapland Longspur","LALO"
"489",40211,"Diomedea sp.","large albatross sp.",NA
"490",5951,"Uria/Alca sp.","Large alcid sp.",NA
"491",41210,"Hydroprogne/Thalasseus sp.","large tern sp.",NA
"492",18870,"Calamospiza melanocorys","Lark Bunting","LARB"
"493",18840,"Chondestes grammacus","Lark Sparrow","LASP"
"494",41291,"Larus sp.","Larus sp.",NA
"495",5040,"Leucophaeus atricilla","Laughing Gull","LAGU"
"496",16440,"Vermivora chrysoptera x cyanoptera (F2 backcross)","Lawrence's Warbler (hybrid)",NA
"497",1730,"Phoebastria immutabilis","Laysan Albatross","LAAL"
"498",19450,"Passerina amoena","Lazuli Bunting","LAZB"
"499",45376,"Hydrobates leucorhous","Leach's Storm-Petrel","LESP"
"500",5880,"Aethia pusilla","Least Auklet","LEAU"
"501",2510,"Ixobrychus exilis","Least Bittern","LEBI"
"502",12190,"Empidonax minimus","Least Flycatcher","LEFL"
"503",4750,"Calidris minutilla","Least Sandpiper","LESA"
"504",5460,"Sternula antillarum","Least Tern","LETE"
"505",18930,"Ammospiza leconteii","LeConte's Sparrow",NA
"506",45075,"Leiothlypis sp.","Leiothlypis sp.",NA
"507",5210,"Larus fuscus","Lesser Black-backed Gull","LBBG"
"508",20480,"Spinus psaltria","Lesser Goldfinch","LEGO"
"509",7710,"Chordeiles acutipennis","Lesser Nighthawk","LENI"
"510",4120,"Charadrius mongolus","Lesser Sand-Plover","LSAP"
"511",690,"Aythya affinis","Lesser Scaup","LESC"
"512",4450,"Tringa flavipes","Lesser Yellowlegs","LEYE"
"513",39566,"Sporophila bouvronides","Lesson's Seedeater",NA
"514",10030,"Melanerpes lewis","Lewis's Woodpecker","LEWO"
"515",4000,"Aramus guarauna","Limpkin","LIMP"
"516",19000,"Melospiza lincolnii","Lincoln's Sparrow","LISP"
"517",45186,"Melospiza lincolnii/georgiana","Lincoln's/Swamp Sparrow",NA
"518",2630,"Egretta caerulea","Little Blue Heron","LBHE"
"519",19180,"Emberiza pusilla","Little Bunting","LIBU"
"520",2600,"Egretta garzetta","Little Egret","LIEG"
"521",5060,"Hydrocoloeus minutus","Little Gull","LIGU"
"522",4720,"Calidris minuta","Little Stint","LIST"
"523",13210,"Lanius ludovicianus","Loggerhead Shrike","LOSH"
"524",41955,"Lanius ludovicianus/borealis","Loggerhead/Northern Shrike",NA
"525",4580,"Numenius americanus","Long-billed Curlew","LBCU"
"526",4900,"Limnodromus scolopaceus","Long-billed Dowitcher","LBDO"
"527",5810,"Brachyramphus perdix","Long-billed Murrelet","LBMU"
"528",7620,"Asio otus","Long-eared Owl","LEOW"
"529",43369,"Asio otus/flammeus","Long-eared/Short-eared Owl",NA
"530",810,"Clangula hyemalis","Long-tailed Duck","LTDU"
"531",5700,"Stercorarius longicaudus","Long-tailed Jaeger","LTJA"
"532",41191,"Calcarius/Rhynchophanes sp.","longspur sp.","UNLN"
"533",1580,"Gavia sp.","loon sp.","UNLO"
"534",16950,"Parkesia motacilla","Louisiana Waterthrush","LOWA"
"535",41413,"Parkesia motacilla/noveboracensis","Louisiana/Northern Waterthrush",NA
"536",16510,"Leiothlypis luciae","Lucy's Warbler","LUWA"
"537",16990,"Geothlypis tolmiei","MacGillivray's Warbler","MGWA"
"538",2450,"Fregata magnificens","Magnificent Frigatebird","MAFR"
"539",16580,"Setophaga magnolia","Magnolia Warbler","MAWA"
"540",451,"Anas platyrhynchos","Mallard","MALL"
"541",40154,"Anas platyrhynchos x rubripes","Mallard x American Black Duck (hybrid)",NA
"542",41254,"Anas platyrhynchos/rubripes","Mallard/American Black Duck",NA
"543",2060,"Puffinus puffinus","Manx Shearwater","MASH"
"544",4620,"Limosa fedoa","Marbled Godwit","MAGO"
"545",5800,"Brachyramphus marmoratus","Marbled Murrelet","MAMU"
"546",14850,"Cistothorus palustris","Marsh Wren","MAWR"
"547",40707,"Cistothorus palustris [palustris Group]","Marsh Wren (palustris Group)",NA
"548",2280,"Sula dactylatra","Masked Booby","MABO"
"549",19260,"Plectrophenax hyperboreus","McKay's Bunting","MKBU"
"550",41767,"Melanerpes sp.","Melanerpes sp.",NA
"551",41483,"Mergellus/Lophodytes/Mergus sp.","merganser sp.",NA
"552",3580,"Falco columbarius","Merlin","MERL"
"553",3581,"Falco columbarius columbarius","Merlin (Taiga)",NA
"554",40499,"Colibri thalassinus","Mexican Violetear","MEVI"
"555",7872,"Antrostomus arizonae","Mexican Whip-poor-will","MWPW"
"556",44961,"Mimidae sp.","Mimidae sp.",NA
"557",2990,"Ictinia mississippiensis","Mississippi Kite","MIKI"
"558",36042,"Turdus viscivorus","Mistle Thrush","MITH"
"559",41596,"Gallinula/Fulica/Porphyrio sp.","moorhen/coot/gallinule sp.",NA
"560",480,"Anas fulvigula","Mottled Duck","MODU"
"561",1810,"Pterodroma inexpectata","Mottled Petrel","MOPE"
"562",15350,"Sialia currucoides","Mountain Bluebird","MOBL"
"563",14290,"Poecile gambeli","Mountain Chickadee","MOCH"
"564",4220,"Charadrius montanus","Mountain Plover","MOPL"
"565",1350,"Oreortyx pictus","Mountain Quail","MOUQ"
"566",6170,"Zenaida macroura","Mourning Dove","MODO"
"567",16980,"Geothlypis philadelphia","Mourning Warbler","MOWA"
"568",1800,"Pterodroma ultima","Murphy's Petrel","MUPE"
"569",40438,"Brachyramphus/Synthliboramphus sp.","murrelet sp.",NA
"570",270,"Cygnus olor","Mute Swan","MUSW"
"571",40597,"Myiarchus sp.","Myiarchus sp.",NA
"572",16480,"Leiothlypis ruficapilla","Nashville Warbler","NAWA"
"573",40756,"Leiothlypis ruficapilla ruficapilla","Nashville Warbler (ruficapilla)",NA
"574",2290,"Sula granti","Nazca Booby","NABO"
"575",18940,"Ammospiza nelsoni","Nelson's Sparrow","NESP"
"576",40837,"Ammospiza nelsoni nelsoni/altera","Nelson's Sparrow (Interior)",NA
"577",2380,"Nannopterum brasilianum","Neotropic Cormorant","NECO"
"578",40655,"Progne sp.","new world martin sp. (Progne sp.)",NA
"579",40901,"Icterus sp.","new world oriole sp.",NA
"580",2885,"Cathartidae sp.","new world vulture sp.",NA
"581",41451,"Chordeiles sp.","nighthawk sp.",NA
"582",7925,"Caprimulgidae sp.","nightjar sp.",NA
"583",1410,"Colinus virginianus","Northern Bobwhite","NOBO"
"584",19360,"Cardinalis cardinalis","Northern Cardinal","NOCA"
"585",42226,"Cardinalis cardinalis [cardinalis Group]","Northern Cardinal (Common)",NA
"586",10460,"Colaptes auratus","Northern Flicker","NOFL"
"587",10470,"Colaptes auratus auratus/luteus","Northern Flicker (Yellow-shafted)",NA
"588",1760,"Fulmarus glacialis","Northern Fulmar","NOFU"
"589",2340,"Morus bassanus","Northern Gannet","NOGA"
"590",3140,"Accipiter gentilis","Northern Goshawk","NOGO"
"591",3061,"Circus hudsonius","Northern Harrier","NOHA"
"592",7460,"Surnia ulula","Northern Hawk Owl","NHOW"
"593",4050,"Vanellus vanellus","Northern Lapwing","NOLA"
"594",15920,"Mimus polyglottos","Northern Mockingbird","NOMO"
"595",16540,"Setophaga americana","Northern Parula","NOPA"
"596",30508,"Anas acuta","Northern Pintail","NOPI"
"597",7470,"Glaucidium gnoma","Northern Pygmy-Owl","NOPO"
"598",14200,"Stelgidopteryx serripennis","Northern Rough-winged Swallow","NRWS"
"599",47462,"Stelgidopteryx serripennis [serripennis Group]","Northern Rough-winged Swallow (Northern)",NA
"600",7680,"Aegolius acadicus","Northern Saw-whet Owl","NSWO"
"601",540,"Spatula clypeata","Northern Shoveler","NSHO"
"602",46372,"Lanius borealis","Northern Shrike","NSHR"
"603",16940,"Parkesia noveboracensis","Northern Waterthrush","NOWA"
"604",42067,"Oenanthe oenanthe","Northern Wheatear","NOWH"
"605",41391,"Sitta sp.","nuthatch sp.",NA
"606",41521,"Oceanites sp.","Oceanites sp.",NA
"607",12020,"Contopus cooperi","Olive-sided Flycatcher","OSFL"
"608",16470,"Leiothlypis celata","Orange-crowned Warbler","OCWA"
"609",45073,"Leiothlypis celata celata/orestera","Orange-crowned Warbler (Gray-headed)",NA
"610",19850,"Icterus spurius","Orchard Oriole","OROR"
"611",19851,"Icterus spurius spurius","Orchard Oriole (Orchard)",NA
"612",20520,"Chloris sinica","Oriental Greenfinch","ORGR"
"613",6080,"Streptopelia orientalis","Oriental Turtle-Dove","ORTD"
"614",2900,"Pandion haliaetus","Osprey","OSPR"
"615",40287,"Pandion haliaetus carolinensis","Osprey (carolinensis)",NA
"616",16930,"Seiurus aurocapilla","Ovenbird","OVEN"
"617",41682,"Strigiformes sp.","owl sp.","UNOW"
"618",41602,"Haematopus sp.","oystercatcher sp.",NA
"619",12240,"Empidonax difficilis","Pacific-slope Flycatcher","PSFL"
"620",12231,"Empidonax difficilis/occidentalis","Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)",NA
"621",4110,"Pluvialis fulva","Pacific Golden-Plover","PAGP"
"622",1550,"Gavia pacifica","Pacific Loon","PALO"
"623",42291,"Troglodytes pacificus","Pacific Wren","PAWR"
"624",14830,"Troglodytes pacificus/hiemalis","Pacific/Winter Wren",NA
"625",19500,"Passerina ciris","Painted Bunting","PABU"
"626",17190,"Myioborus pictus","Painted Redstart","PARE"
"627",16800,"Setophaga palmarum","Palm Warbler","PAWA"
"628",16801,"Setophaga palmarum palmarum","Palm Warbler (Western)",NA
"629",16802,"Setophaga palmarum hypochrysea","Palm Warbler (Yellow)",NA
"630",5870,"Aethia psittacula","Parakeet Auklet","PAAU"
