distance_method_type
0m-75m-INF
0m-50m-100m-INF
0m-50m-INF
0m-INF
0m-100m
0m-80m
0m-50m-75m-100m-INF
0m-25m-50m-75m-INF
0m-60m-INF
0m-50m
0m-50m-100m-150m
0m-25m-50m-75m-100m-125m-150m-INF
0m-100m-INF
UNKNOWN
0m-30m-50m-75m
0m-50m-75m-100m
0m-25m-50m-75m-100m-INF
0m-50m-100m
0m-10m-20m-30m-40m-50m-60m-70m-80m-90m-100m-125m-150m-INF
0m-10m-25m-50m-100m-INF
0m-10m-20m-30m-40m-50m-60m-70m-80m-90m-100m-INF
0m-50m-100m-150m-INF
0m-50m-100m-150m-200m
0m-400m
0m-INF-ARU
0m-25m-50m-INF
0m-10m-25m-50m-INF
0m-10m-20m-50m-75m-100m-200m-300m-400m-500m-INF
0m-25m-50m-100m-INF
0m-100m-400m
